Shop Name,Link
Kazi Technology,https://www.google.com/maps/place/Kazi+Technology/data=!4m7!3m6!1s0x3755c0d692206ed5:0xf53955f178dc46ef!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11gbzcmw5t!19sChIJ1W4gktbAVTcR70bcePFVOfU?authuser=0&hl=en&rclk=1
SS Computer | Mirpur-10,https://www.google.com/maps/place/SS+Computer+%7C+Mirpur-10/data=!4m7!3m6!1s0x3755c1fdeb5c3bbf:0x23a36af34a532d0!8m2!3d23.8065524!4d90.36971!16s%2Fg%2F11lbxwsbr2!19sChIJvztc6_3BVTcR0DKlNK82OgI?authuser=0&hl=en&rclk=1
Laptop World BD,https://www.google.com/maps/place/Laptop+World+BD/data=!4m7!3m6!1s0x3755c0d692c00001:0x8c8cbee90af0151c!8m2!3d23.8064168!4d90.3695264!16s%2Fg%2F11h_vvkhdk!19sChIJAQDAktbAVTcRHBXwCum-jIw?authuser=0&hl=en&rclk=1
You Tech BD,https://www.google.com/maps/place/You+Tech+BD/data=!4m7!3m6!1s0x3755c0b7c93ec59b:0x1f9ebda108706a47!8m2!3d23.8057465!4d90.3685768!16s%2Fg%2F12lr_8z4f!19sChIJm8U-ybfAVTcRR2pwCKG9nh8?authuser=0&hl=en&rclk=1
Green Technology,https://www.google.com/maps/place/Green+Technology/data=!4m7!3m6!1s0x3755c19d7d8acd05:0x2dc0062b6175cefe!8m2!3d23.7991441!4d90.3528902!16s%2Fg%2F11gjx12f8n!19sChIJBc2KfZ3BVTcR_s51YSsGwC0?authuser=0&hl=en&rclk=1
World Computer System,https://www.google.com/maps/place/World+Computer+System/data=!4m7!3m6!1s0x3755c0d986915a5b:0x68c09c2ac0572f78!8m2!3d23.8066302!4d90.3690243!16s%2Fg%2F11c2lgpm14!19sChIJW1qRhtnAVTcReC9XwCqcwGg?authuser=0&hl=en&rclk=1
Laptop Source,https://www.google.com/maps/place/Laptop+Source/data=!4m7!3m6!1s0x3755c17507408cb1:0x7a2c2e1cef798adc!8m2!3d23.8048078!4d90.3693214!16s%2Fg%2F11sh00sz89!19sChIJsYxAB3XBVTcR3Ip57xwuLHo?authuser=0&hl=en&rclk=1
IT BD Shop,https://www.google.com/maps/place/IT+BD+Shop/data=!4m7!3m6!1s0x3755c1d4eefc6ac1:0x8bbea2b6bd8edee1!8m2!3d23.8061817!4d90.3681095!16s%2Fg%2F11qrt7877p!19sChIJwWr87tTBVTcR4d6Ovbaivos?authuser=0&hl=en&rclk=1
21 Technology,https://www.google.com/maps/place/21+Technology/data=!4m7!3m6!1s0x3755c7bc6bb0c7f5:0x818a61a6f3cf1ddd!8m2!3d23.8062797!4d90.3690347!16s%2Fg%2F11h39ymk0b!19sChIJ9cewa7zHVTcR3R3P86ZhioE?authuser=0&hl=en&rclk=1
Laptop Territory,https://www.google.com/maps/place/Laptop+Territory/data=!4m7!3m6!1s0x3755c1a619ea7619:0x2c1024a455ea0cc3!8m2!3d23.8064171!4d90.3695265!16s%2Fg%2F11t40hg8pz!19sChIJGXbqGabBVTcRwwzqVaQkECw?authuser=0&hl=en&rclk=1
